date,load,click,startup,createorder
20180308,6039258,4098163,393236,144996
20180309,6219732,4320114,419129,151680
20180310,6161566,4072198,398256,155242
20180311,5295119,3276204,354689,126825
20180312,5815384,3904196,396139,136416
20180313,5972174,4285632,406719,141483
20180314,6349458,4472186,421747,142344
20180315,6367288,4639889,427811,145257
20180316,6926873,4618652,433676,156333
20180317,6304383,4294575,407019,154195
20180318,5303003,3484421,357703,126225
20180319,5883698,4402372,408175,139125
20180320,6061694,4590743,412221,142089
20180321,6224342,4835320,424117,147939
20180322,6086040,4738854,412881,146480
20180323,6593112,4700645,429780,155634
20180324,6330831,4401518,390425,156759
20180325,4957361,3471023,345881,125385
20180326,5514213,4155993,393262,135619
20180327,5830763,4465560,404744,141582
20180328,5981918,4598419,410228,142564
20180329,6027971,4759303,421847,143223
20180330,6293899,4773763,425486,150569
20180331,6035425,4431160,393596,150121
20180401,5426302,4029007,353436,126968
20180402,6159573,4830820,413702,136133
20180403,6503794,5311794,435721,142328
20180404,7295774,6022863,472042,158646
20180405,8205474,6580654,488575,177966
20180406,6492837,4906020,408018,151302
20180407,4781462,3447661,340371,117621
20180408,5293585,4187538,377954,125340
20180409,5980763,5142955,410539,147064
20180410,6008518,5086614,415144,143675
20180411,6197715,5185331,415049,140041
20180412,6363588,5299741,418934,137932
20180413,7048976,5507971,443229,146037
20180414,6895731,5101471,396304,142725
20180415,5802364,4131471,348288,121292
20180416,6567148,5391828,414772,142773
20180417,7142704,5988040,439248,154268
20180418,7181600,6000193,441717,148555
20180419,7237894,6166044,458552,145862
20180420,7619982,6064057,480626,153649
20180421,6789963,5268312,418593,148478
20180422,5648282,4299164,368792,120956
20180423,6233087,5085149,407544,128692
20180424,6666527,5345728,413223,131333
20180425,6775366,5535573,420631,133625
20180426,6688248,5441223,418198,133483
20180427,6866868,5576127,428350,135645
20180428,7773491,6233031,478794,154470
20180429,9672425,7169663,508558,183079
20180430,8198792,5100611,411645,172835
20180501,5725826,3351478,323463,131466
20180502,5201048,3807219,350382,117688
20180503,5132327,4035608,357780,121015
20180504,5094173,4017116,356822,127177
20180505,4773656,3622221,322318,126867
20180506,4171298,3085144,292090,104069
20180507,4648055,3762992,335178,116786
20180508,4797918,4006688,344853,122963
20180509,4900711,4124021,350312,125373
20180510,5073586,4232151,354899,124279
20180511,5149107,4068531,353957,129780
20180512,4797068,3624319,324246,128347
20180513,3946056,2817896,277279,103353
20180514,4587416,3725751,324419,116472
20180515,4792585,3933962,339066,125034
20180516,4998953,4139081,357926,127046
20180517,5133190,4293941,359805,129731
20180518,5167391,4291563,365437,138213
20180519,4841794,3950204,336740,143384
20180520,4052008,2944117,289951,126589
20180521,4338901,3637929,323020,124191
20180522,4459290,3790281,330605,121609
20180523,4590397,3907016,340207,123044
20180524,4700628,4003576,353574,123736
20180525,5045996,4078923,372413,133542
20180526,4652713,3587737,331900,132350
20180527,3818935,2928151,286922,107312
20180528,4250477,3567776,313772,113608
20180529,4218481,3757482,326916,117164
20180530,4356053,3815803,334802,117314
20180531,4431807,3902562,332333,121425
20180601,4707619,3871550,346538,134701
20180602,4467008,3635926,324079,134180
20180603,3769436,3003020,288528,110318
20180604,4268739,3625015,323416,117907
20180605,4517911,3962131,339146,120546
20180606,4610000,4131056,354932,127141
20180607,4353962,4170187,361334,127950
20180608,4209181,4133569,362007,135339
20180609,4027132,4001309,340032,137754
20180610,3543637,3470345,312762,115494
20180611,4060962,4118878,350644,123490
20180612,4364053,4345908,370703,132322
20180613,4414743,4459784,390698,133571
20180614,4473541,4540755,388460,135644
20180615,4833096,4730297,418102,145701
20180616,4718182,4674303,395264,153118
20180617,3992020,3572862,338536,141626
20180618,3253024,2726779,294282,113385
20180619,3637515,3500221,346806,124932
20180620,3991486,3793462,368809,134509
20180621,4150023,3931358,370211,137180
20180622,4113619,3833076,365533,140799
20180623,3770140,3494174,349380,138211
20180624,3291611,2962918,312086,120918
20180625,3767149,3538359,350610,129480
20180626,3903855,3770665,350928,131693
20180627,3919828,3830611,355445,137704
20180628,3895547,3867816,360454,136402
20180629,3977569,3938100,361433,146673
20180630,3803340,3774039,338623,152481
20180701,3515387,3284491,311994,130771
20180702,3967423,3714927,355667,136627
20180703,4051038,3975540,353067,141189
20180704,3935653,4256276,368097,146001
20180705,3902557,4399913,390145,152530
20180706,3819323,4343459,388697,161486
20180707,3483550,4054213,359832,158252
20180708,3185486,3560223,327864,139408
20180709,3711795,4131097,369358,146978
20180710,3914564,4457164,382233,152203
20180711,4055072,4595883,390729,151832
